component,subcomponent,owner,data_class,description,control_scope,criticality,internet_facing,compensating_controls
web,frontend,frontend-team,PII,"React quote form collects name email SSN DOB medical history","SOC2,ISO27001,HIPAA",critical,true,"WAF,CloudFlare"
web,static-assets,frontend-team,NONE,"CDN-hosted static assets images CSS JS bundles","SOC2",medium,true,"CDN,CloudFront"
api,quote-service,pricing-team,PII/PHI,"Express API calculates insurance quotes stores customer records","SOC2,ISO27001,HIPAA,PCI",critical,true,"WAF,mTLS,rate-limiting"
api,auth-service,security-team,PII,"JWT authentication user session management","SOC2,ISO27001,HIPAA",critical,true,"mTLS,MFA"
api,payment-service,billing-team,PCI,"Stripe integration payment processing tokenization","PCI-DSS,SOC2",critical,true,"PCI-compliant,tokenization,TLS1.3"
db,customers-db,platform-team,PII/PHI,"PostgreSQL 14.5 stores customer records medical history quotes","SOC2,ISO27001,HIPAA",critical,false,"encryption-at-rest,VPC,private-subnet,backup-encryption"
db,sessions-db,platform-team,PII,"Redis 7.0 session store JWT tokens","SOC2,ISO27001",high,false,"encryption-in-transit,VPC,private-subnet"
esb,billing-gateway,billing-team,PCI,"Payment webhook callbacks Stripe events","PCI-DSS,SOC2",critical,true,"webhook-signature-validation,IP-allowlist"
esb,notification-service,ops-team,PII,"Email SMS notifications via SendGrid Twilio","SOC2",medium,true,"API-key-rotation,TLS1.2+"
infra,alb,platform-team,NONE,"AWS Application Load Balancer SSL termination","SOC2,ISO27001",critical,true,"TLS1.2+,WAF,DDoS-protection"
infra,eks-cluster,platform-team,NONE,"Kubernetes 1.28 container orchestration","SOC2,ISO27001",critical,false,"RBAC,network-policies,pod-security-standards"
infra,rds-instance,platform-team,PII/PHI,"AWS RDS PostgreSQL managed database","SOC2,ISO27001,HIPAA",critical,false,"encryption-at-rest,automated-backups,multi-AZ"
